,Date,Ticker,Predicted_Pct_Change,Buy
2424,2025-12-24 00:00:00+00:00,BE,0.0010400055,0
1720,2025-12-24 00:00:00+00:00,ASTS,0.0010421114,0
4559,2025-12-24 00:00:00+00:00,CRDO,0.0010421114,0
17686,2025-12-24 00:00:00+00:00,TERN,0.0010474604,0
16844,2025-12-24 00:00:00+00:00,SPHR,0.0010568943,0
1181,2025-12-24 00:00:00+00:00,ANF,0.0010568943,0
506,2025-12-24 00:00:00+00:00,AGIO,0.0010579022,0
13107,2025-12-24 00:00:00+00:00,OLMA,0.0010620973,0
16173,2025-12-24 00:00:00+00:00,SFM,0.0010620973,0
6297,2025-12-24 00:00:00+00:00,EWTX,0.0010634442,0
9955,2025-12-24 00:00:00+00:00,KOD,0.0010648107,0
14775,2025-12-24 00:00:00+00:00,QBTS,0.0010648107,0
12430,2025-12-24 00:00:00+00:00,NNE,0.0010673272,0
18654,2025-12-24 00:00:00+00:00,UPST,0.0010673272,0
10109,2025-12-24 00:00:00+00:00,KTOS,0.0010690057,0
15666,2025-12-24 00:00:00+00:00,RVMD,0.0010690057,0
18313,2025-12-24 00:00:00+00:00,TVTX,0.0010690057,0
10527,2025-12-24 00:00:00+00:00,LMND,0.0010690057,0
5076,2025-12-24 00:00:00+00:00,CYTK,0.0010690057,0
16927,2025-12-24 00:00:00+00:00,SPXC,0.0010696944,0
19017,2025-12-24 00:00:00+00:00,VICR,0.0010779212,0
13393,2025-12-24 00:00:00+00:00,OSIS,0.0010791284,0
15292,2025-12-24 00:00:00+00:00,RHLD,0.0010791284,0
4878,2025-12-24 00:00:00+00:00,CVCO,0.0010791284,0
18577,2025-12-24 00:00:00+00:00,UNF,0.0010791284,0
14038,2025-12-24 00:00:00+00:00,PI,0.0010791284,0
10417,2025-12-24 00:00:00+00:00,LGND,0.0010791284,0
9207,2025-12-24 00:00:00+00:00,INOD,0.0010831242,0
17202,2025-12-24 00:00:00+00:00,STRL,0.0010852301,0
10362,2025-12-24 00:00:00+00:00,LEU,0.0010852301,0
7353,2025-12-24 00:00:00+00:00,GCO,0.0010853662,0
2666,2025-12-24 00:00:00+00:00,BKSY,0.0010858376,0
17598,2025-12-24 00:00:00+00:00,TCX,0.0010870447,0
18885,2025-12-24 00:00:00+00:00,VC,0.0010883542,0
7859,2025-12-24 00:00:00+00:00,GSAT,0.0010883542,0
4405,2025-12-24 00:00:00+00:00,CORT,0.0010883542,0
9240,2025-12-24 00:00:00+00:00,INSM,0.0010883542,0
7111,2025-12-24 00:00:00+00:00,FTAI,0.0010883542,0
11616,2025-12-24 00:00:00+00:00,MOD,0.0010883542,0
18280,2025-12-24 00:00:00+00:00,TTMI,0.0010883542,0
1214,2025-12-24 00:00:00+00:00,ANIP,0.0010883542,0
8541,2025-12-24 00:00:00+00:00,HROW,0.0010883542,0
15831,2025-12-24 00:00:00+00:00,SANM,0.0010883542,0
8508,2025-12-24 00:00:00+00:00,HQY,0.0010883542,0
15039,2025-12-24 00:00:00+00:00,RDNT,0.0010883542,0
3326,2025-12-24 00:00:00+00:00,CALX,0.0010883542,0
14456,2025-12-24 00:00:00+00:00,PRIM,0.0010883542,0
17466,2025-12-24 00:00:00+00:00,TARS,0.0010886661,0
11099,2025-12-24 00:00:00+00:00,MC,0.0010886661,0
18610,2025-12-24 00:00:00+00:00,UNTY,0.0010895613,0
13052,2025-12-24 00:00:00+00:00,OFLX,0.0010895613,0
15798,2025-12-24 00:00:00+00:00,SAH,0.0010895613,0
14676,2025-12-24 00:00:00+00:00,PTGX,0.0010895613,0
851,2025-12-24 00:00:00+00:00,ALNT,0.0010895613,0
9592,2025-12-24 00:00:00+00:00,JBSS,0.0010895613,0
11407,2025-12-24 00:00:00+00:00,MHO,0.0010895613,0
12760,2025-12-24 00:00:00+00:00,NUVL,0.0010895613,0
4317,2025-12-24 00:00:00+00:00,COFS,0.0010895613,0
3029,2025-12-24 00:00:00+00:00,BSVN,0.0010895613,0
9636,2025-12-24 00:00:00+00:00,JJSF,0.0010895613,0
14236,2025-12-24 00:00:00+00:00,PLUS,0.0010895613,0
18214,2025-12-24 00:00:00+00:00,TSBK,0.0010895613,0
18082,2025-12-24 00:00:00+00:00,TREE,0.0010895613,0
3535,2025-12-24 00:00:00+00:00,CCB,0.0010895613,0
15545,2025-12-24 00:00:00+00:00,ROOT,0.0010895613,0
17389,2025-12-24 00:00:00+00:00,SXI,0.0010895613,0
11968,2025-12-24 00:00:00+00:00,MYRG,0.0010895613,0
12298,2025-12-24 00:00:00+00:00,NIC,0.0010895613,0
2468,2025-12-24 00:00:00+00:00,BFC,0.0010895613,0
418,2025-12-24 00:00:00+00:00,AEIS,0.0010895613,0
2171,2025-12-24 00:00:00+00:00,BANF,0.0010895613,0
16426,2025-12-24 00:00:00+00:00,SKY,0.0010895613,0
13624,2025-12-24 00:00:00+00:00,PATK,0.0010895613,0
16470,2025-12-24 00:00:00+00:00,SKYW,0.0010895613,0
12100,2025-12-24 00:00:00+00:00,NBR,0.0010895613,0
14808,2025-12-24 00:00:00+00:00,QLYS,0.0010895613,0
5945,2025-12-24 00:00:00+00:00,ENS,0.0010895613,0
12793,2025-12-24 00:00:00+00:00,NVEC,0.0010895613,0
14786,2025-12-24 00:00:00+00:00,QCRH,0.0010895613,0
528,2025-12-24 00:00:00+00:00,AGM,0.0010895613,0
8833,2025-12-24 00:00:00+00:00,IBP,0.0010895613,0
3249,2025-12-24 00:00:00+00:00,CABO,0.0010895613,0
5747,2025-12-24 00:00:00+00:00,ECPG,0.0010895613,0
8888,2025-12-24 00:00:00+00:00,ICUI,0.0010895613,0
5087,2025-12-24 00:00:00+00:00,CZFS,0.0010895613,0
14060,2025-12-24 00:00:00+00:00,PIPR,0.0010898655,0
14335,2025-12-24 00:00:00+00:00,POWL,0.0010898655,0
7727,2025-12-24 00:00:00+00:00,GPI,0.0010898655,0
8943,2025-12-24 00:00:00+00:00,IESC,0.0010898655,0
6880,2025-12-24 00:00:00+00:00,FN,0.0010898655,0
1302,2025-12-24 00:00:00+00:00,APGE,0.0010900326,0
11088,2025-12-24 00:00:00+00:00,MBX,0.0010900326,0
16129,2025-12-24 00:00:00+00:00,SEZL,0.0010900326,0
5956,2025-12-24 00:00:00+00:00,ENSG,0.0010900326,0
10208,2025-12-24 00:00:00+00:00,LASR,0.0010900326,0
9383,2025-12-24 00:00:00+00:00,IRON,0.0010903138,0
2347,2025-12-24 00:00:00+00:00,BCML,0.0010912397,0
14918,2025-12-24 00:00:00+00:00,RAPP,0.0010912397,0
2127,2025-12-24 00:00:00+00:00,AXSM,0.0010912397,0
4933,2025-12-24 00:00:00+00:00,CVLT,0.0010912397,0
7518,2025-12-24 00:00:00+00:00,GHM,0.0010912397,0
