Unnamed: 0_x,Date,Ticker,Predicted_Pct_Change,Buy,Unnamed: 0_y,Predicted_Movement
1917,2025-12-16,SMCI,0.00024077405,1,1917,0.51383
1655,2025-12-16,ORCL,0.00024039208,1,1655,0.49164948
1529,2025-12-16,MU,0.00023722896,1,1529,0.5066209
2245,2025-12-16,WBD,0.00017140192,1,2245,0.4814051
1578,2025-12-16,NOW,0.0001703779,1,1578,0.49566567
209,2025-12-16,AVGO,0.00017026797,1,209,0.48417228
2275,2025-12-16,WMB,0.00016968543,1,2275,0.5014358
536,2025-12-16,CRWD,0.00016877119,1,536,0.49449643
968,2025-12-16,GLW,0.00016789229,1,968,0.50604373
950,2025-12-16,GEV,0.00016761025,1,950,0.51245683
