,Date,Ticker,Predicted_Movement,Buy
873,2025-12-12,FI,0.9999634,1
1279,2025-12-12,KVUE,0.9993666,1
836,2025-12-12,F,0.9993383,1
123,2025-12-12,AMCR,0.9991073,1
457,2025-12-12,CMG,0.9990107,1
1696,2025-12-12,PCG,0.9989792,1
1919,2025-12-12,SMCI,0.99897313,1
443,2025-12-12,CLX,0.9989126,1
615,2025-12-12,DECK,0.9987111,1
1135,2025-12-12,INTC,0.9986041,1
69,2025-12-12,AES,0.9985446,1
2247,2025-12-12,WBD,0.99853945,1
1522,2025-12-12,MTCH,0.9984451,1
1711,2025-12-12,PFE,0.9983096,1
1786,2025-12-12,PPL,0.9979266,1
1254,2025-12-12,KMB,0.9978733,1
1981,2025-12-12,SW,0.99783945,1
2011,2025-12-12,T,0.99783653,1
1347,2025-12-12,LUV,0.99781394,1
342,2025-12-12,CAG,0.99761754,1
477,2025-12-12,CNP,0.99751925,1
2229,2025-12-12,VTRS,0.9974069,1
1914,2025-12-12,SLB,0.9972951,1
1082,2025-12-12,HST,0.99704677,1
551,2025-12-12,CSX,0.9969998,1
659,2025-12-12,DOC,0.99690896,1
892,2025-12-12,FMC,0.9964759,1
522,2025-12-12,CPT,0.9962141,1
472,2025-12-12,CNC,0.99614406,1
698,2025-12-12,DVN,0.995908,1
1264,2025-12-12,KMX,0.9956989,1
448,2025-12-12,CMCSA,0.9956802,1
252,2025-12-12,BAX,0.9954436,1
746,2025-12-12,EMN,0.9953596,1
1064,2025-12-12,HPE,0.9949778,1
756,2025-12-12,ENPH,0.9937133,1
1313,2025-12-12,LKQ,0.9931978,1
381,2025-12-12,CCL,0.9929898,1
242,2025-12-12,BAC,0.9928873,1
1222,2025-12-12,KDP,0.9927368,1
644,2025-12-12,DIS,0.9924373,1
487,2025-12-12,COO,0.99239796,1
850,2025-12-12,FCX,0.9920066,1
1623,2025-12-12,NWSA,0.99195296,1
1069,2025-12-12,HPQ,0.9910591,1
1125,2025-12-12,IFF,0.99044484,1
1565,2025-12-12,NI,0.990062,1
1812,2025-12-12,PYPL,0.9897703,1
1473,2025-12-12,MOS,0.9897069,1
2234,2025-12-12,VZ,0.98959595,1
703,2025-12-12,DXCM,0.9888658,1
176,2025-12-12,APA,0.9882593,1
1570,2025-12-12,NKE,0.98807365,1
1643,2025-12-12,OKE,0.98806155,1
546,2025-12-12,CSGP,0.9878663,1
585,2025-12-12,CZR,0.9868945,1
376,2025-12-12,CCI,0.98674196,1
959,2025-12-12,GIS,0.9866,1
1396,2025-12-12,MCHP,0.9859914,1
817,2025-12-12,EXC,0.9858165,1
1701,2025-12-12,PEG,0.98490477,1
1991,2025-12-12,SWKS,0.98467755,1
395,2025-12-12,CE,0.9845036,1
1618,2025-12-12,NWS,0.9844639,1
1841,2025-12-12,RF,0.98429847,1
303,2025-12-12,BMY,0.9842032,1
1245,2025-12-12,KKR,0.9841935,1
1160,2025-12-12,IR,0.98372054,1
1672,2025-12-12,OXY,0.9836579,1
1493,2025-12-12,MRNA,0.9834589,1
2108,2025-12-12,TSN,0.9833688,1
152,2025-12-12,AMTM,0.9833425,1
605,2025-12-12,DD,0.9830582,1
600,2025-12-12,DAY,0.9829829,1
541,2025-12-12,CSCO,0.9829573,1
2178,2025-12-12,USB,0.98275167,1
1464,2025-12-12,MO,0.9826989,1
1017,2025-12-12,HAL,0.98226166,1
1633,2025-12-12,O,0.9816684,1
2257,2025-12-12,WEC,0.9815325,1
669,2025-12-12,DOW,0.9811965,1
2299,2025-12-12,WY,0.9806307,1
18,2025-12-12,ABNB,0.9799817,1
1432,2025-12-12,MHK,0.97992367,1
733,2025-12-12,EIX,0.9796143,1
46,2025-12-12,ADM,0.97958964,1
921,2025-12-12,FTV,0.97951275,1
1652,2025-12-12,ON,0.97950464,1
2088,2025-12-12,TROW,0.9783837,1
1274,2025-12-12,KR,0.9771428,1
512,2025-12-12,CPB,0.976645,1
590,2025-12-12,D,0.9762744,1
2098,2025-12-12,TSCO,0.9759384,1
776,2025-12-12,EQR,0.97549736,1
2141,2025-12-12,UBER,0.9747542,1
1386,2025-12-12,MAS,0.97397906,1
570,2025-12-12,CTVA,0.97258604,1
1441,2025-12-12,MKTX,0.97186106,1
595,2025-12-12,DAL,0.9713074,1
1259,2025-12-12,KMI,0.9712544,1
390,2025-12-12,CDW,0.9686707,1
1352,2025-12-12,LVS,0.9674586,1
2006,2025-12-12,SYY,0.9669244,1
2030,2025-12-12,TECH,0.9654723,1
1059,2025-12-12,HON,0.9652169,1
1092,2025-12-12,HUBB,0.96462315,1
1767,2025-12-12,PNW,0.9640884,1
323,2025-12-12,BWA,0.9639905,1
789,2025-12-12,ES,0.9635393,1
261,2025-12-12,BDX,0.96222264,1
575,2025-12-12,CVS,0.9618128,1
2127,2025-12-12,TXT,0.96152186,1
1362,2025-12-12,LYB,0.9610081,1
1391,2025-12-12,MCD,0.9607648,1
2083,2025-12-12,TRMB,0.96016365,1
1682,2025-12-12,PAYC,0.9593176,1
2035,2025-12-12,TEL,0.95852584,1
157,2025-12-12,AMZN,0.95831454,1
1550,2025-12-12,NEE,0.9553899,1
973,2025-12-12,GM,0.95485085,1
1367,2025-12-12,LYV,0.9542068,1
23,2025-12-12,ABT,0.9539464,1
1580,2025-12-12,NOW,0.9527333,1
366,2025-12-12,CBOE,0.9517967,1
941,2025-12-12,GEHC,0.9510677,1
2078,2025-12-12,TRGP,0.95045733,1
191,2025-12-12,APTV,0.9499364,1
2122,2025-12-12,TXN,0.9479539,1
2272,2025-12-12,WM,0.9477637,1
897,2025-12-12,FOX,0.94737875,1
580,2025-12-12,CVX,0.94718057,1
2267,2025-12-12,WFC,0.94684035,1
902,2025-12-12,FOXA,0.94462496,1
74,2025-12-12,AFL,0.939899,1
1691,2025-12-12,PCAR,0.93908983,1
318,2025-12-12,BSX,0.93829817,1
2309,2025-12-12,XEL,0.93826836,1
978,2025-12-12,GNRC,0.9349426,1
1541,2025-12-12,NDAQ,0.93272096,1
2220,2025-12-12,VST,0.9317595,1
1483,2025-12-12,MPWR,0.9200482,1
1735,2025-12-12,PHM,0.91655034,1
507,2025-12-12,CPAY,0.91624415,1
968,2025-12-12,GLW,0.9154238,1
1662,2025-12-12,ORLY,0.91422665,1
826,2025-12-12,EXPE,0.91379553,1
2136,2025-12-12,UAL,0.9107091,1
1822,2025-12-12,QRVO,0.910428,1
1996,2025-12-12,SYF,0.9102314,1
1414,2025-12-12,MDT,0.90967125,1
2319,2025-12-12,XYL,0.90783495,1
751,2025-12-12,EMR,0.90667844,1
1560,2025-12-12,NFLX,0.902442,1
841,2025-12-12,FANG,0.8981096,1
2314,2025-12-12,XOM,0.89192253,1
118,2025-12-12,AMAT,0.8891206,1
1488,2025-12-12,MRK,0.8819728,1
400,2025-12-12,CEG,0.8701388,1
424,2025-12-12,CHTR,0.8663415,1
171,2025-12-12,AOS,0.8648917,1
2016,2025-12-12,TAP,0.83277184,1
2193,2025-12-12,VLO,0.8245239,1
1555,2025-12-12,NEM,0.8085521,1
1799,2025-12-12,PSX,0.8048462,1
