Date,Ticker,Predicted_Next_Day_Pct_Change,Buy
2025-12-26 00:00:00+00:00,SMCI,0.0002845032,1
2025-12-26 00:00:00+00:00,ADM,0.00016342153,1
2025-12-26 00:00:00+00:00,KO,0.00016108129,1
2025-12-26 00:00:00+00:00,WMB,0.00016094257,1
2025-12-26 00:00:00+00:00,TSCO,0.00015798099,1
2025-12-26 00:00:00+00:00,CSX,0.00015748617,1
2025-12-26 00:00:00+00:00,SLB,0.00015726268,1
2025-12-26 00:00:00+00:00,NEE,0.00015525761,1
2025-12-26 00:00:00+00:00,ROST,0.00015446644,1
2025-12-26 00:00:00+00:00,MDLZ,0.00015368678,1
