,Date,Close,High,Low,Open,Volume
0,2025-11-13,6737.490234375,6828.0498046875,6724.72021484375,6826.47021484375,5473720000
1,2025-11-14,6734.10986328125,6774.31005859375,6646.8701171875,6672.14013671875,5042660000
2,2025-11-17,6672.41015625,6754.5,6638.89990234375,6713.60986328125,5204220000
3,2025-11-18,6617.31982421875,6666.6298828125,6574.31982421875,6641.18994140625,5159390000
4,2025-11-19,6642.16015625,6689.75,6603.5,6625.83984375,5021610000
5,2025-11-20,6538.759765625,6770.35009765625,6534.0498046875,6737.93017578125,5596080000
6,2025-11-21,6602.990234375,6660.0498046875,6521.919921875,6555.77001953125,5929930000
7,2025-11-24,6705.1201171875,6715.75,6630.7001953125,6636.5400390625,6039740000
8,2025-11-25,6765.8798828125,6776.39990234375,6659.97998046875,6697.02978515625,5003330000
9,2025-11-26,6812.60986328125,6831.43994140625,6783.8701171875,6793.5498046875,4485000000
10,2025-11-28,6849.08984375,6850.85986328125,6819.75,6822.52001953125,2558540000
11,2025-12-01,6812.6298828125,6843.64990234375,6799.93994140625,6812.2998046875,4549370000
12,2025-12-02,6829.3701171875,6851.5498046875,6806.7099609375,6830.9599609375,4582290000
13,2025-12-03,6849.72021484375,6862.419921875,6810.43017578125,6815.2900390625,4736780000
14,2025-12-04,6857.1201171875,6866.47021484375,6827.1201171875,6866.47021484375,4872440000
15,2025-12-05,6870.39990234375,6895.77978515625,6858.2900390625,6866.31982421875,4944560000
16,2025-12-08,6846.509765625,6878.27001953125,6827.18994140625,6875.2001953125,4757130000
17,2025-12-09,6840.509765625,6864.919921875,6837.43017578125,6840.60986328125,4508050000
18,2025-12-10,6886.68017578125,6900.669921875,6824.68994140625,6833.490234375,5526570000
19,2025-12-11,6901.0,6903.4599609375,6833.4501953125,6861.2998046875,5021060000
20,2025-12-12,6827.41015625,6899.85009765625,6801.7900390625,6886.85009765625,4910160000
21,2025-12-15,6816.509765625,6861.58984375,6801.490234375,6860.18994140625,4975600000
22,2025-12-16,6800.259765625,6819.27001953125,6759.740234375,6800.1201171875,4983180000
23,2025-12-17,6721.43017578125,6812.259765625,6720.43017578125,6802.8798828125,5122120000
24,2025-12-18,6774.759765625,6816.1298828125,6758.5,6778.06005859375,5101190000
