,Date,Close
0,2025-09-04,6502.080078125
1,2025-09-05,6481.5
2,2025-09-08,6495.14990234375
3,2025-09-09,6512.60986328125
4,2025-09-10,6532.0400390625
5,2025-09-11,6587.47021484375
6,2025-09-12,6584.2900390625
7,2025-09-15,6615.27978515625
8,2025-09-16,6606.759765625
9,2025-09-17,6600.35009765625
10,2025-09-18,6631.9599609375
11,2025-09-19,6664.35986328125
12,2025-09-22,6693.75
13,2025-09-23,6656.919921875
14,2025-09-24,6637.97021484375
15,2025-09-25,6604.72021484375
16,2025-09-26,6643.7001953125
17,2025-09-29,6661.2099609375
18,2025-09-30,6688.4599609375
19,2025-10-01,6711.2001953125
20,2025-10-02,6715.35009765625
21,2025-10-03,6715.7900390625
22,2025-10-06,6740.27978515625
23,2025-10-07,6714.58984375
24,2025-10-08,6753.72021484375
25,2025-10-09,6735.10986328125
26,2025-10-10,6552.509765625
27,2025-10-13,6654.72021484375
28,2025-10-14,6644.31005859375
29,2025-10-15,6671.06005859375
30,2025-10-16,6629.06982421875
31,2025-10-17,6664.009765625
32,2025-10-20,6735.1298828125
33,2025-10-21,6735.35009765625
34,2025-10-22,6699.39990234375
35,2025-10-23,6738.43994140625
36,2025-10-24,6791.68994140625
37,2025-10-27,6875.16015625
38,2025-10-28,6890.89013671875
39,2025-10-29,6890.58984375
40,2025-10-30,6822.33984375
41,2025-10-31,6840.2001953125
42,2025-11-03,6851.97021484375
43,2025-11-04,6771.5498046875
44,2025-11-05,6796.2900390625
45,2025-11-06,6720.31982421875
46,2025-11-07,6728.7998046875
47,2025-11-10,6832.43017578125
48,2025-11-11,6846.60986328125
49,2025-11-12,6850.919921875
50,2025-11-13,6737.490234375
51,2025-11-14,6734.10986328125
52,2025-11-17,6672.41015625
53,2025-11-18,6617.31982421875
54,2025-11-19,6642.16015625
55,2025-11-20,6538.759765625
56,2025-11-21,6602.990234375
57,2025-11-24,6705.1201171875
58,2025-11-25,6765.8798828125
59,2025-11-26,6812.60986328125
60,2025-11-28,6849.08984375
61,2025-12-01,6812.6298828125
62,2025-12-02,6829.3701171875
63,2025-12-03,6849.72021484375
64,2025-12-04,6857.1201171875
