,Date,Close
0,2025-11-10,6832.43017578125
1,2025-11-11,6846.60986328125
2,2025-11-12,6850.919921875
3,2025-11-13,6737.490234375
4,2025-11-14,6734.10986328125
5,2025-11-17,6672.41015625
6,2025-11-18,6617.31982421875
7,2025-11-19,6642.16015625
8,2025-11-20,6538.759765625
9,2025-11-21,6602.990234375
10,2025-11-24,6705.1201171875
11,2025-11-25,6765.8798828125
12,2025-11-26,6812.60986328125
13,2025-11-28,6849.08984375
14,2025-12-01,6812.6298828125
15,2025-12-02,6829.3701171875
16,2025-12-03,6849.72021484375
17,2025-12-04,6857.1201171875
