Unnamed: 0_x,Date,Ticker,Predicted_Pct_Change,Buy,Unnamed: 0_y,Predicted_Movement
2726,2025-12-18,SMCI,0.0002851529,1,2726,0.51845694
2173,2025-12-18,MU,0.00019156835,1,2173,0.5049506
3191,2025-12-18,WBD,0.00018840515,1,3191,0.4983484
2352,2025-12-18,ORCL,0.00018341378,1,2352,0.49181044
2566,2025-12-18,PWR,0.00017783587,1,2566,0.4939588
760,2025-12-18,CRWD,0.00017698934,1,760,0.48891875
1347,2025-12-18,GEV,0.00017236616,1,1347,0.49999958
506,2025-12-18,CAT,0.00016947166,1,506,0.49615395
3233,2025-12-18,WMB,0.00016896776,1,3233,0.50988114
2573,2025-12-18,PYPL,0.00016636128,1,2573,0.4903248
