Date,Ticker,Action,Price
2025-11-13,AMCR,BUY,8.579999923706055
2025-11-13,KMI,BUY,26.88999938964844
2025-11-13,ABT,BUY,129.25999450683594
2025-11-13,VTRS,BUY,10.784836769104004
2025-11-13,F,BUY,13.279999732971191
2025-11-13,PCG,BUY,16.649999618530273
2025-11-13,HBAN,BUY,15.572813987731934
2025-11-13,GEN,BUY,26.594905853271484
2025-11-13,KVUE,BUY,16.770000457763672
2025-11-13,KDP,BUY,27.0
2025-11-18,GEN,SELL,26.34000015258789
2025-11-19,KDP,SELL,26.88999938964844
2025-11-19,GEN,BUY,26.059999465942383
2025-11-21,GEN,SELL,26.540000915527344
2025-11-21,KDP,BUY,27.739999771118164
2025-11-21,T,BUY,25.93000030517578
2025-11-24,T,SELL,25.6200008392334
2025-11-26,KVUE,SELL,17.219999313354492
2025-11-26,CCL,BUY,25.43000030517578
2025-11-26,CZR,BUY,22.940000534057617
2025-11-28,PCG,SELL,16.1200008392334
2025-11-28,CZR,SELL,23.270000457763672
2025-11-28,GEN,BUY,26.3700008392334
2025-11-28,AES,BUY,14.0600004196167
2025-12-01,GEN,SELL,26.280000686645508
2025-12-01,AES,SELL,13.989999771118164
2025-12-01,KVUE,BUY,17.219999313354492
2025-12-03,KVUE,SELL,16.969999313354492
2025-12-03,HAL,BUY,27.399999618530273
2025-12-04,HAL,SELL,27.829999923706055
2025-12-04,CTRA,BUY,27.34000015258789
2025-12-05,CTRA,SELL,27.38999938964844
2025-12-05,HAL,BUY,28.450000762939453
2025-12-08,KDP,SELL,29.0
2025-12-08,HAL,SELL,28.079999923706055
2025-12-08,GEN,BUY,26.84000015258789
2025-12-08,KVUE,BUY,16.760000228881836
2025-12-08,PCG,BUY,14.9399995803833
2025-12-10,KVUE,SELL,17.31999969482422
2025-12-10,PCG,SELL,15.079999923706056
2025-12-10,HAL,BUY,29.040000915527344
2025-12-10,NWSA,BUY,26.1200008392334
2025-12-11,HBAN,SELL,17.753602981567383
2025-12-11,PCG,BUY,14.829999923706056
2025-12-12,ABT,SELL,125.45999908447266
2025-12-12,GEN,SELL,27.670000076293945
2025-12-12,CZR,BUY,24.530000686645508
2025-12-12,KVUE,BUY,17.329999923706055
2025-12-15,HAL,SELL,28.40999984741211
2025-12-15,NWSA,SELL,26.049999237060547
2025-12-15,CZR,SELL,24.010000228881836
2025-12-15,ABT,BUY,128.47000122070312
2025-12-15,CTRA,BUY,26.270000457763672
2025-12-15,GEN,BUY,27.489999771118164
2025-12-17,PCG,SELL,15.68000030517578
2025-12-17,KVUE,SELL,17.280000686645508
2025-12-17,CTRA,SELL,25.920000076293945
2025-12-17,ABNB,BUY,133.77999877929688
2025-12-17,HAL,BUY,27.739999771118164
2025-12-17,MRNA,BUY,30.510000228881836
2025-12-18,VTRS,SELL,11.9399995803833
2025-12-18,GEN,SELL,27.690000534057617
2025-12-18,CTRA,BUY,25.43000030517578
2025-12-18,PCG,BUY,15.81999969482422
2025-12-19,AMCR,SELL,8.289999961853027
2025-12-19,KMI,SELL,26.489999771118164
2025-12-19,F,SELL,13.470000267028809
2025-12-19,CCL,SELL,31.1200008392334
2025-12-19,ABT,SELL,125.4499969482422
2025-12-19,ABNB,SELL,135.27999877929688
2025-12-19,HAL,SELL,27.719999313354492
2025-12-19,MRNA,SELL,33.79999923706055
2025-12-19,CTRA,SELL,25.3799991607666
2025-12-19,PCG,SELL,15.729999542236328
