Date,Close,High,Low,Open,Volume,Ticker
2024-01-02,49.755821228027344,49.85901071915014,48.0203690869068,48.123558578029595,24784900,C
2024-01-03,50.318660736083984,51.003459388605506,48.99596676205027,49.952809744318564,30897600,C
2024-01-04,50.440616607666016,51.35993557297753,50.33742712345333,50.5813266128237,23714300,C
2024-01-05,50.965946197509766,51.284890325620935,50.55318823690418,50.68451901400767,17782200,C
2024-01-08,50.6657600402832,50.740808248040395,49.73706172950873,50.647001566839414,17359500,C
2024-01-09,50.16857147216797,50.57194658862114,49.97157532092201,50.51566044033871,17237400,C
2024-01-10,49.737056732177734,49.9246736542244,49.352443652304885,49.76519801801143,16532700,C
2024-01-11,48.85525894165039,48.9115415099666,48.08602924921121,48.63011793290076,25444400,C
2024-01-12,49.361820220947266,50.51565939822112,48.09541232792582,49.06163459329041,37908000,C
2024-01-16,48.658260345458984,48.98659084172899,47.72017934782186,48.57383291253184,21209400,C
2024-01-17,48.179840087890625,48.48940495293109,47.84213035985013,47.94531984102861,17393500,C
2024-01-18,47.94532775878906,48.386227040818774,47.38247692627325,48.26427549033268,15788100,C
2024-01-19,48.32993698120117,48.48002980871907,47.485662589853455,47.954703123158794,18211000,C
2024-01-22,49.56820297241211,49.81210247159886,48.73331140799079,48.77083550894113,21573200,C
2024-01-23,49.99972152709961,50.10291101985977,49.33368481009634,49.633870473492046,12962500,C
2024-01-24,49.96219253540039,50.328047131701894,49.70891381422286,50.22485764903955,14402200,C
2024-01-25,50.40309524536133,50.440619346839156,49.7558205980976,50.09353035440747,15634000,C
2024-01-26,50.346805572509766,50.64699478484555,50.290523002724015,50.52504325281805,14041200,C
2024-01-29,50.75956344604492,50.872132163985334,50.13104731567964,50.159192179036005,12158300,C
2024-01-30,53.5550422668457,53.65823174523091,51.60383214809427,51.631977010332434,40086100,C
2024-01-31,52.69200897216797,54.36179561469409,52.663867686795115,53.22671844371783,28967800,C
2024-02-01,52.58882522583008,53.08600703980745,51.45374442974734,52.55130112479531,21178700,C
2024-02-02,52.59829330444336,53.01498715463596,52.077425088540195,52.65511305835846,19283100,C
2024-02-05,51.613380432128906,52.21948193624368,51.24403755384959,52.03007431304533,14040600,C
