Price,Close,High,Low,Open,Volume,Ticker
Ticker,MS,MS,MS,MS,MS,
Date,,,,,,
2024-01-02,88.13212585449219,88.36676942324176,86.60224520336274,86.96829575850525,6132200,MS
2024-01-03,86.26435852050781,87.47511294211694,85.66366444209898,87.47511294211694,7487900,MS
2024-01-04,86.48961639404297,87.41880287315878,86.02971702812243,86.48961639404297,8735600,MS
2024-01-05,87.51265716552734,88.16027566061126,86.40513931344691,86.54592687682424,6027800,MS
2024-01-08,87.76607513427734,88.06641859077703,86.61162572165969,87.48450001097953,6738400,MS
2024-01-09,86.40514373779297,87.13723051193777,86.02971976390056,87.05276226603797,7594100,MS
2024-01-10,85.86078643798828,86.32068587384677,85.68245501641381,85.90771085999187,6929200,MS
2024-01-11,84.95034790039062,85.36331565503176,84.0399298336834,85.36331565503176,9400700,MS
2024-01-12,84.19010162353516,86.25496912927599,83.93668974403542,85.67305055605986,8303100,MS
2024-01-16,80.68922424316406,82.74470401027556,79.59109415967414,81.41192321858186,20369000,MS
2024-01-17,79.22505950927734,79.91021473314522,78.74638461483643,79.63802732888485,17198500,MS
2024-01-18,78.74637603759766,79.76003788220791,78.1644574614504,79.61925032144214,15016400,MS
2024-01-19,80.09791564941406,80.33255919021138,78.08936751304915,78.75576147037584,14787400,MS
2024-01-22,80.46397399902344,81.44008492236195,80.1917866058942,80.21055494025508,11626500,MS
2024-01-23,81.41192626953125,81.51517000713902,79.95714051726807,80.40765213523552,8555700,MS
2024-01-24,82.1909408569336,82.8761031607384,81.84366583161435,81.95629731136044,12480900,MS
2024-01-25,82.61329650878906,82.98872761446617,81.96568519126761,82.72592798871803,8792400,MS
2024-01-26,82.34111022949219,83.06380914704624,82.26602258173918,82.4818906180888,6384400,MS
2024-01-29,82.23788452148438,82.54760860500646,80.4545918807869,82.03139702530046,7440300,MS
2024-01-30,83.04347229003906,83.4699651904106,82.23786334127173,82.43690107440433,6569300,MS
2024-01-31,82.68331146240234,84.11444374112844,82.67383898484773,83.12876375803158,8414700,MS
2024-02-01,82.28526306152344,83.56474912425296,81.16689591264799,82.63594001894116,8365000,MS
2024-02-02,82.71175384521484,83.09086269154061,81.50809103134783,81.95354338346311,7728600,MS
2024-02-05,81.40382385253906,82.05778633475123,80.64560627226702,82.05778633475123,7788700,MS
