Price,Close,High,Low,Open,Volume,Ticker
Ticker,MSI,MSI,MSI,MSI,MSI,
Date,,,,,,
2024-04-04,341.71502685546875,348.97303595848484,341.53824933317077,346.94983549898024,706400,MSI
2024-04-05,346.0069580078125,346.3409110648045,341.9310942166466,342.7069910741544,422000,MSI
2024-04-08,345.74176025390625,347.81408534918233,343.9149994331647,345.7024663732868,393700,MSI
2024-04-09,346.6551513671875,346.8515908039006,341.8623168469065,346.1640827478546,404300,MSI
2024-04-10,341.2436218261719,343.83644875012453,339.8489736520537,343.83644875012453,570000,MSI
2024-04-11,342.51055908203125,345.33911935671654,342.3927073993281,342.52039004640733,411300,MSI
2024-04-12,337.6685791015625,341.34176253794556,337.3248250964718,339.5935595686434,413800,MSI
2024-04-15,332.531982421875,341.4203415958101,332.3355729757197,341.4203415958101,778000,MSI
2024-04-16,334.03466796875,335.4882418116267,332.17844425051595,333.86772142968937,530300,MSI
2024-04-17,334.42755126953125,337.04003984717843,333.1507549119117,336.0873655537223,540400,MSI
2024-04-18,333.39630126953125,336.47039564634485,331.29454314791644,335.6748668745596,493700,MSI
2024-04-19,333.5829162597656,334.97756436476755,331.1374040596556,334.97756436476755,1393000,MSI
2024-04-22,339.0632629394531,341.6462588011854,333.69097083519614,335.32132231176155,1026900,MSI
2024-04-23,339.37750244140625,343.8364137869953,338.75878117320167,339.7900132593252,721300,MSI
2024-04-24,338.94537353515625,340.7034076131086,337.7177019669536,338.36591615165867,616800,MSI
2024-04-25,342.7855224609375,343.4337366242055,336.88289813749094,339.03378105164626,926200,MSI
2024-04-26,340.2909851074219,343.04095790280974,340.04545075167454,342.2945238701521,595500,MSI
2024-04-29,341.47930908203125,342.84446429877016,339.5641294206006,340.81146293323167,398100,MSI
2024-04-30,333.09185791015625,340.8703984815667,332.49276854643375,340.5070124776758,1220800,MSI
2024-05-01,329.99810791015625,333.9954136130511,329.6740158134794,332.0016762433252,1099600,MSI
2024-05-02,330.23382568359375,330.9900905629691,327.03207856844176,330.7936511202208,1377400,MSI
2024-05-03,347.3819274902344,349.80780748836355,341.1944453629775,345.8399649467283,1151500,MSI
2024-05-06,343.39447021484375,348.91407656715757,339.10250540874307,348.91407656715757,1129300,MSI
2024-05-07,351.7720642089844,351.8015271235819,345.07388188098537,347.3524471846803,801100,MSI
2024-05-08,352.60693359375,355.21942248948335,351.8408676748848,353.38283047710473,765000,MSI
2024-05-09,353.6774597167969,354.1390654610525,351.6837221346829,352.0667700803739,526200,MSI
2024-05-10,356.3684997558594,357.55687741139286,354.01137639930266,354.7185164035146,611200,MSI
2024-05-13,351.6051330566406,357.9595622188807,349.9354877542632,356.72205970129625,1064500,MSI
2024-05-14,354.60064697265625,356.50599566150777,352.4301320127607,353.235491762162,975400,MSI
2024-05-15,358.5094909667969,360.2871566533229,354.5121859263445,354.5121859263445,543900,MSI
2024-05-16,359.8648681640625,361.2398541468509,358.548808011076,359.53094513770293,453300,MSI
2024-05-17,361.23004150390625,362.98807544201077,359.66844699006793,362.98807544201077,423900,MSI
2024-05-20,361.84881591796875,361.87827883625266,360.1399067126004,360.3756100588719,291000,MSI
2024-05-21,363.13543701171875,363.99972263440725,361.3185069781712,362.15329970820034,607200,MSI
2024-05-22,364.4416809082031,365.3648923320372,362.61489001568765,363.39078684475044,410300,MSI
2024-05-23,356.8595886230469,363.23365001372383,356.0738608113035,363.23365001372383,584400,MSI
2024-05-24,358.0872497558594,359.2854584078261,356.91850402269296,357.7533266853047,518500,MSI
2024-05-28,353.46136474609375,358.175611229772,352.106010639613,357.08542337229693,602900,MSI
2024-05-29,350.7309875488281,353.9229333254535,350.6720617169016,352.0372467589101,584800,MSI
2024-05-30,353.2649230957031,354.63990914707824,350.5247519834445,350.65243461186645,697600,MSI
2024-05-31,358.3917541503906,358.63728849485483,350.3971415078589,353.83462233035743,1175000,MSI
2024-06-03,359.8550720214844,359.9532917381402,354.3452965947513,357.01671103656264,585700,MSI
2024-06-04,362.6247253417969,362.88989161557504,358.7158082029557,359.6488506018157,701600,MSI
2024-06-05,364.0291442871094,365.3648664541477,358.745241397588,364.37289829886214,640000,MSI
2024-06-06,363.8523864746094,364.1764785776887,360.6211465452027,364.1764785776887,395700,MSI
2024-06-07,364.43182373046875,367.0737751723142,363.3023719551975,364.09790068218973,400000,MSI
2024-06-10,367.1229248046875,367.28990133995825,363.390814910801,364.068492071539,582700,MSI
2024-06-11,370.16754150390625,370.3050551123593,364.9720268068532,366.8970374904858,668000,MSI
2024-06-12,372.5737609863281,373.9880409831441,370.56036169869805,373.20231322244115,679800,MSI
2024-06-13,369.9809265136719,374.78359220168846,366.5631079601888,372.0434207970382,573600,MSI
2024-06-14,369.665771484375,370.3058196793088,364.3385474946622,365.08692818139076,593700,MSI
2024-06-17,376.9624328613281,377.0609087595596,370.0695406938754,370.246779280317,538200,MSI
2024-06-18,377.7304992675781,378.74473791971155,373.9492591455285,377.6024836040989,598200,MSI
2024-06-20,378.7151794433594,379.76881441311065,376.73592516101104,377.5630685795954,879200,MSI
2024-06-21,380.1331787109375,380.42857636608085,376.9919867585332,379.9953064381198,1043900,MSI
2024-06-24,382.2207336425781,384.9187990477608,379.63097069351545,380.26119242208057,702400,MSI
