Price,Close,High,Low,Open,Volume,Ticker
Ticker,IR,IR,IR,IR,IR,
Date,,,,,,
2024-01-02,76.58869934082031,77.46707601375299,76.1195636623713,76.85819876495889,1790100,IR
2024-01-03,74.58240509033203,76.32918248294156,74.53249411869088,76.06965913802867,2629500,IR
2024-01-04,74.80199432373047,75.6304600234728,74.58239825319237,74.76206707314678,1475700,IR
2024-01-05,74.6622543334961,75.15134983663819,74.45263435966207,74.6622543334961,2066600,IR
2024-01-08,75.58056640625,75.60052622644041,73.87371620451921,74.6722384730066,1882800,IR
2024-01-09,75.77020263671875,75.77020263671875,74.44265022748968,74.83193136773825,2100100,IR
2024-01-10,76.14950561523438,76.24433188214446,75.60051544646242,75.75024073024971,1386100,IR
2024-01-11,77.54692840576172,77.59683175647335,75.39988871611801,76.18943237475997,3222000,IR
2024-01-12,77.27742004394531,78.02603882983682,76.5886959393591,77.94618433165914,2961900,IR
2024-01-16,77.80644226074219,77.86633694165738,76.49885722681184,76.98795269811231,2610700,IR
2024-01-17,77.30735778808594,77.60680832615706,76.82824606558435,77.01789858071896,2589500,IR
2024-01-18,78.0360336303711,78.22568618664576,77.01891289791217,77.61680887840673,1579200,IR
2024-01-19,78.73473358154297,78.77466083226213,77.72659905842592,78.42530690765005,2149400,IR
2024-01-22,79.19387817382812,79.30467380927874,78.68482290904488,78.87446781313633,1820300,IR
2024-01-23,79.06412506103516,79.37355172464531,78.21569195364515,79.37355172464531,2153100,IR
2024-01-24,78.69480895996094,79.6829913137495,78.47022483058888,79.6031368096433,4113100,IR
2024-01-25,79.10405731201172,79.60313653795501,78.54509101586552,79.19388791731609,2688400,IR
2024-01-26,79.15396881103516,79.48735337066223,78.88446176262723,79.21385588163928,2170200,IR
2024-01-29,80.33180236816406,80.40167316110517,78.8944516386955,78.93437889399688,2658200,IR
2024-01-30,80.46155548095703,80.68115156446345,79.97245995927582,80.00240349514581,2156000,IR
2024-01-31,79.71293640136719,80.70111115905584,79.5831785411761,80.21201563873345,2470900,IR
2024-02-01,81.83899688720703,82.07856036226167,80.21200159968092,80.21200159968092,4281300,IR
2024-02-02,83.58578491210938,83.85529195317696,81.43974276155693,81.71923351923485,2395600,IR
2024-02-05,82.75731658935547,83.36618620716511,82.3580517063349,82.80721994014289,2464700,IR
2024-02-06,83.08671569824219,83.24642472185505,82.05861360860693,82.70741819017974,7467000,IR
2024-02-07,84.41425323486328,84.81351810682402,83.22145428466239,83.40611114661482,2846300,IR
2024-02-08,85.22276306152344,85.3425448133117,84.25455579210964,84.51407149796766,2500800,IR
2024-02-09,85.7417984008789,86.35067556535043,85.11295380606938,85.49225882905758,4011700,IR
