Date,Close,High,Low,Open,Volume,Ticker
2024-02-16,176.56521606445312,177.01811269851254,174.5743396473005,176.23497023706796,2127500,AMT
2024-02-20,177.7635040283203,178.0560144662025,175.28199560862575,176.52746494218255,2241000,AMT
2024-02-21,177.5937042236328,178.95240875026036,176.09347397436773,178.53724743408785,1863200,AMT
2024-02-22,177.39553833007812,178.33908145817298,175.1310405815807,178.33908145817298,2149700,AMT
2024-02-23,179.2071533203125,180.47151215208007,176.86717021223393,177.49934242945437,1458600,AMT
2024-02-26,177.12191772460938,180.57528903984678,176.17837459349482,178.51835752740774,3310700,AMT
2024-02-27,176.14060974121094,179.84874141596015,170.93226246898027,178.5089120120463,4672100,AMT
2024-02-28,182.8208770751953,184.7740178952545,175.9707604312561,175.9707604312561,4059100,AMT
2024-02-29,187.63299560546875,189.4634716612152,184.1230138567299,184.17962414343114,4676900,AMT
2024-03-01,190.3692626953125,190.64289827409542,185.07598499413425,187.67072868299957,3473500,AMT
2024-03-04,194.51141357421875,194.86053432803487,187.7556555982851,190.0578887782296,2851800,AMT
2024-03-05,193.82261657714844,197.77606436167272,193.0866541310483,194.3132630069901,2469900,AMT
2024-03-06,194.37930297851562,195.5304266775425,193.41689941165032,194.8039088785544,1865400,AMT
2024-03-07,193.1715850830078,196.19092028377332,192.29409686415718,195.9078688566124,2085800,AMT
2024-03-08,195.60594177246094,197.35150248069786,194.2661121336457,194.93603415171677,2156000,AMT
2024-03-11,195.07752990722656,196.55889943924515,193.29423407913086,194.30381767837804,2006300,AMT
2024-03-12,192.6526336669922,194.59634465187182,190.1994301127046,194.09626793361093,1746100,AMT
2024-03-13,190.9259490966797,193.4735125478889,189.92578133236577,192.76585523381272,1690400,AMT
2024-03-14,187.94435119628906,191.1146565680028,185.13259680743718,189.67103678597758,2010400,AMT
2024-03-15,186.19879150390625,187.52919072744388,184.1135693198289,184.53816083446378,3346800,AMT
2024-03-18,184.8495330810547,186.6611341142421,184.47210720081242,185.5005801268131,1833500,AMT
2024-03-19,185.5288848876953,185.76477066336605,183.7078392129081,185.0948487256381,1463500,AMT
2024-03-20,183.6417999267578,185.61380156937022,182.8680876665987,184.38719264810535,2154800,AMT
2024-03-21,182.9907684326172,185.45341673253213,182.72657749140478,184.80236962835642,2658000,AMT
2024-03-22,181.90567016601562,183.7455907516524,180.7356859218203,183.7455907516524,2581900,AMT
2024-03-25,184.51930236816406,185.14204432364178,182.60391086049208,182.75488122497026,2144800,AMT
2024-03-26,183.14173889160156,184.4343884544301,182.9530187357881,184.23623804975654,1823400,AMT
2024-03-27,186.23655700683594,186.5856633754129,183.0662513541217,184.60421694346914,2494200,AMT
2024-03-28,186.43467712402344,187.1706395880678,184.94387730273937,187.1706395880678,2170500,AMT
2024-04-01,182.1132354736328,185.48169100951966,181.33953767378745,185.45338587033777,2195800,AMT
2024-04-02,181.33010864257812,182.88696341825573,180.53753588259244,180.99987719124675,2321300,AMT
2024-04-03,181.45278930664062,182.33972221243636,179.44303769658544,180.5658564008449,2270400,AMT
2024-04-04,179.5562744140625,183.80221882764994,179.35812400660467,183.1322968186824,2265400,AMT
2024-04-05,179.43359375,181.38673492289635,178.12206938655467,178.565535805599,2538800,AMT
2024-04-08,177.5842742919922,179.73555166388886,176.102904538213,179.36757038704673,2296800,AMT
2024-04-09,181.92454528808594,182.09439053501094,178.17867797822262,178.67875467625547,1962900,AMT
2024-04-10,171.68710327148438,176.90489529435075,170.3472594430672,176.62182949401858,4136500,AMT
2024-04-11,170.06866455078125,173.53401294575576,169.77354100071312,173.27696376193734,3688600,AMT
2024-04-12,170.60179138183594,171.05875640621284,168.63111972713446,170.20194516967413,3839000,AMT
2024-04-15,169.57359313964844,171.62995734478838,167.57436226797475,170.60177524221842,2562800,AMT
2024-04-16,163.94717407226562,169.4117530249381,163.51875396446445,169.4117530249381,3848700,AMT
2024-04-17,163.7663116455078,165.04201361286306,162.87141146562496,164.66121182539067,2732800,AMT
